address,category,description,email,hotelClass,image,latitude,longitude,name,phone,priceLevel,rating,subcategories/0,website,amenities,City,Country
"5 Place de la Victoire Port de France, Tunis 1001 Tunisia",hotel,"Hotel Royal Victoria is an excellent choice for travelers visiting Tunis, offering a romantic environment alongside many helpful amenities designed to enhance your stay.
For those interested in checking out Victoria Square (0.0 mi) while visiting Tunis, Hotel Royal Victoria is a short distance away.
Hotel Royal Victoria is a romantic hotel offering air conditioning in the rooms, and it is easy to stay connected during your stay as free wifi is offered to guests.
The hotel features a 24 hour front desk, a concierge, and baggage storage. Plus, guests can enjoy an on-site restaurant, which has made this a popular choice among travelers visiting Tunis. For guests with a vehicle, free parking is available.
If you’re looking for a seafood restaurant, consider a visit to El Ali, Chez Slah, or Le petit Tunis, which are all conveniently located a short distance from Hotel Royal Victoria.
If you are interested in exploring Tunis, check out one of the architectural buildings, such as Marché central de Tunis, Fondouk El Ghala, Avenue Habib Thameur, and Hôtel Tunisia Palace.
Enjoy your stay in Tunis!
",contact@hotel-royalvictoria.com,4.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/6f/58/db/hotel-royal-victoria.jpg,36.79943,10.17532,Hotel Royal Victoria,+216 71 320 066,Cheap,4.0,Hotel,http://hotel-royalvictoria.com/,"Internet,Free Internet,Restaurant",Tunis,Tunisia
"Rue de Syrie, Tunis 1002 Tunisia",hotel,"Finding an ideal quiet hotel in Tunis does not have to be difficult. Welcome to Ibis Tunis, a nice option for travelers like you.
Guest rooms offer a flat screen TV, air conditioning, and a desk, and Ibis Tunis makes getting online easy as free wifi is available.
You can also take advantage of some of the amenities offered by the hotel, including a 24 hour front desk and currency exchange. In addition, guests can enjoy a lounge during their visit. As an added convenience, there is free parking available to guests.
Nearby landmarks such as Mosque Kasbah (1.3 mi) and Kasbah Square (1.4 mi) make Ibis Tunis a great place to stay when visiting Tunis.
During your visit, be sure to check out a popular Tunis tapas restaurant such as Le Comptoir de Tunis, which is a short distance from Ibis Tunis.
There is no shortage of things to do in the area, and there are several great attractions that are within walking distance of Ibis Tunis, including Medina of Tunis (1.2 mi), Bab El Bhar (1.0 mi), and Cathedral of St. Vincent de Paul (0.9 mi).
Ibis Tunis puts the best of Tunis at your fingertips, making your stay both relaxing and enjoyable.
",mohamed.trabelsi@accor.com,3.0,https://media-cdn.tripadvisor.com/media/photo-w/2c/bd/14/cd/exterior-view.jpg,36.811478,10.183735,Ibis Tunis,+216 71 830 300,Cheap,4.0,Hotel,http://www.accorhotels.com/gb/hotel-6144-ibis-tunis-opening-march-2012/index.shtml,"Restaurant,Internet,Free Internet",Tunis,Tunisia
"Rue de la Cote d'Ivoire, Gammarth 2070 Tunisia",hotel,"Set along the Mediterranean coastline, this luxury beachfront hotel boasting 161 rooms and 9 suites reflects the distinctive style of Arab-Andalusian architecture; combining palatial space with an intimate ambience which has welcomed diplomats and dignitaries from all over the world. Located just 20 minutes from Tunis-Carthage International Airport, it presents the perfect location for visiting the city’s treasures and UNESCO World Heritage sites such as the Archaeological Site of Carthage and The Medina of Tunis, as well as Sidi Bou Said, a picturesque sea-side town known for its blue and white houses and cobbled streets, with al-fresco cafes and art galleries, located just minutes away from the hotel. Discover a world of flavours at its five seasonal restaurants offering cuisine from across the globe, ranging from the Mediterranean, traditional Tunisian at El Dar, to Chinese at the Li Bai, all in different atmospheric locations throughout the resort. Renowned for its award-winning spa, The Spa & Thalasso ; a 4,000m2 wellness centre inspired by the magical atmosphere of ancient Roman thermal baths, with 18 treatment rooms featuring an oriental hammam and a majestic cupola covering an indoor seawater swimming pool. There is a large outdoor swimming pool and restaurant, a beachfront refreshment bar and two floodlit tennis courts and the Dolphin Kids Club for younger guests, with the star attraction being the hotel’s 18-hole, par 72 golf course designed by Robert Trent Jones II.",info-tunis@theresidence.com,5.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/28/04/90/el-dar-restaurant.jpg,36.926353,10.275033,The Residence Tunis,+216 71 910 101,Expensive,4.5,Hotel,http://cenizaro.com/theresidence/tunis,"Pool,Free parking,Internet",Tunis,Tunisia
"10 Avenue des Etats Unis d'Amerique, Tunis 1002 Tunisia",hotel,"See why so many travelers make Hotel Belvedere Fourati their hotel of choice when visiting Tunis. Providing an ideal mix of value, comfort and convenience, it offers a charming setting with an array of amenities designed for travelers like you.
Free wifi is offered to guests, and rooms at Hotel Belvedere Fourati offer a flat screen TV, air conditioning, and a minibar.
During your stay, take advantage of some of the amenities offered, including room service and a concierge. Guests of Hotel Belvedere Fourati are also welcome to enjoy free breakfast, located on site. For travelers arriving by car, free parking is available.
For those interested in checking out popular landmarks while visiting Tunis, Hotel Belvedere Fourati is located a short distance from Mosque Sidi Youssef (1.3 mi) and Marché central de Tunis, Fondouk El Ghala (1.3 mi).
If you’re looking for a Mediterranean restaurant, consider a visit to La Salle a Manger, El Walima, or Sultan Ahmet, which are all conveniently located a short distance from Hotel Belvedere Fourati.
Best of all, Hotel Belvedere Fourati makes it easy to experience many great Tunis attractions like Bab El Bhar (1.1 mi), Cathedral of St. Vincent de Paul (1.1 mi), and Dar Lasram (1.1 mi), which are a short distance away.
We’re sure you’ll enjoy your stay at Hotel Belvedere Fourati as you experience all of the things Tunis has to offer.
",reservation@hotelbelvederetunis.com,4.0,https://media-cdn.tripadvisor.com/media/photo-o/09/6e/40/b9/hotel-belvedere-fourati.jpg,36.815514,10.177967,Hotel Belvedere Fourati,+216 71 783 133,Cheap,4.5,Hotel,https://www.hotelbelvederetunis.com/en/home/,"Restaurant,Room service,Internet",Tunis,Tunisia
"Avenue Mohamed V, Place Des Droits de l'Homme, Tunis 1001 Tunisia",hotel,"Laico Tunis Hotel is conveniently located in the heart of the city and is 10minutes drive from Tunis-Cartage airport. The hotel features 305 guest rooms and suites of different categories, most of which allow stunning views of the city Tunis. Rooms and suites are fully renovated and luxuriously decorated. Each room offers free and unlimited access to the Wi-Fi, spacious bathrooms, In-Room Electronic Safe, hair dryer, alarm clock, desk, coffee & tea maker facilities and 24-hours room service. The hotel is an ideal venue for business meetings and seminars. It provides latest equipment for conference and meetings. Laico Tunis features sophisticated cuisines in three vibrant restaurants, two bar lounges, one Cafe Maure and one gourmet shop. Time is always well spent at our fitness center “Fitness Pro by Laico Tunis” and ""Spa by Laico Tunis"".",e.commerce@laicotunis.com,5.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/e9/16/d6/laico-tunis.jpg,36.81667,10.182316,Laico Tunis - SPA & Conference Center,+216 70 244 420,Mid-range,4.0,Hotel,https://www.laicotunis.com,"Pool,Internet,Suites",Tunis,Tunisia
"Avenue de la Ligue Arabe B.p. 345, Tunis 1080 Tunisia",hotel,,sheraton.tunis@sheratonhotels.com,5.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/27/96/58/king-city-view-deluxe.jpg,36.83114,10.160662,Sheraton Tunis Hotel,18446310595,Mid-range,4.0,Hotel,https://www.marriott.com/hotels/travel/tunsi-sheraton-tunis-hotel/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_NDI2NjI1NS03NjktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"Pool,Room service,Free parking",Tunis,Tunisia
"Rue Ali Bach Hamba, Tunis 1000 Tunisia",hotel,"Tiba Hotel Tunis 3 star luxury, offering a total of 47 rooms spread over 4 floors, offering free buffet breakfast, air-conditioned rooms with free Wi-Fi, the guest rooms at Tiba hotel Tunis are simply decorated. A shower and a hairdryer are features of the modern en suite bathrooms.Free private parking is available on site at the hotel.Tiba hotel is located in the center of Tunis and 15 minutes from Tunis-Carthage Airport, 50 meters from theatre, 5 minutes from the souks.",hoteltiba@topnet.tn,3.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/22/16/0d/14/chambre-double.jpg,36.800022,10.180269,Hotel Tiba,+216 71 240 322,Cheap,4.0,Hotel,http://www.hoteltiba.com,"Internet,Free Internet,Wifi",Tunis,Tunisia
"Zone Touristique Cap, Gammarth 1057 Tunisia",hotel,"A hillside, beachfront setting in the affluent Gammarth neighbourhood, connecting to all the best of Tunis. 25 minutes to Les Berges du Lac for business, 30 minutes to Tunis City, the Medina and souks, 15 minutes to Sidi Bou Said, the charming seaside village. 15 minutes to Carthage, a UNESCO archaeological site featuring the ruins of the ancient Roman city, 20 minutes to Tunis-Carthage International Airport (TUN) ACCOMMODATION: 203 spacious accommodations, including 35 suites – contemporary in design with subtle Middle Eastern motifs. Most with views of the Mediterranean and all with an outdoor terrace or balcony DINING. The CREEK Bistro Chic for evening dining, featuring coastal cuisine from Italy, France and Spain including a rooftop lounge area perfect for cocktails, wine and light cuisine. Azur for international fare from breakfast to dinner. BLU Bar & Grill for chic poolside dining with Mediterranean flavours and a cool lounge vibe opens in summer. Salon Alyssa, the lobby lounge",mohamed.aboudoh@fourseasons.com,5.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/2e/a1/a7/tsh-entrance.jpg,36.920315,10.294112,Four Seasons Hotel Tunis,+216 31 260 001,VeryExpensive,4.5,Hotel,https://www.fourseasons.com/tunis/,"Pool,Internet,Kids Activities",Tunis,Tunisia
"Rue du Lac Huron Les Berges du Lac, Tunis 1053 Tunisia",hotel,"Movenpick Hotel du Lac Tunis is situated near Tunis Lake in the heart of Tunis’s Les Berges du Lac district, close to many embassies and multi-national companies. Our five-star hotel is only 10 minutes from Tunis-Carthage International Airport (TUN) and 15 minutes from downtown Tunis.",hotel.dulactunis@movenpick.com,5.0,https://media-cdn.tripadvisor.com/media/photo-w/2c/81/9c/eb/exterior-view.jpg,36.83544,10.24844,Movenpick Hotel Du Lac Tunis,+216 36 421 000,Expensive,4.5,Hotel,https://movenpick.accor.com/en/africa/tunisia/tunis/hotel-du-lac-tunis.html,"Internet,Suites,Room service",Tunis,Tunisia
"38 Rue du Pacha La Medina, Tunis 1006 Tunisia",hotel,"Dar Ben Gacem was built in the 17th century at the heart of Tunis Medina, a World Heritage site, and has just been restored into a 7room luxury boutique hotel. We want our guests to feel at home and enjoy calmness in the middle of souks, artisan workshops and historical palaces.",Info@darbengacem.com,4.0,https://media-cdn.tripadvisor.com/media/photo-o/06/1d/a8/30/dar-ben-gacem.jpg,36.800774,10.167793,Dar Ben-Gacem,+216 71 563 742,Mid-range,4.5,Hotel,http://darbengacem.com/,"Internet,Free Internet,Wifi",Tunis,Tunisia
"Blvd Habib Bougatfa, Bizerte 7000 Tunisia",hotel,,,0.0,https://media-cdn.tripadvisor.com/media/photo-o/07/a2/be/49/restaurant-enaim.jpg,37.27728,9.87745,Restaurant Enaim,,Mid-range,4.0,Hotel,,,Bizerte,Tunisia
"La Corniche, Bizerte 7000 Tunisia",hotel,,,0.0,https://media-cdn.tripadvisor.com/media/photo-o/08/5d/5d/97/hotel-le-peit-mousse.jpg,37.31748,9.868747,Hotel Le Peit Mousse,01276 600100,Mid-range,4.5,Bed and Breakfast,,Kids Activities,Bizerte,Tunisia
"Route Panoramique De La Corniche, Bizerte 7000 Tunisia",hotel,,,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/35/0f/b8/dar-salama.jpg,37.31988,9.86658,Dar Salama,+216 27 063 707,Mid-range,4.5,Bed and Breakfast,,Kids Activities,Bizerte,Tunisia
"Route De La Corniche Sidi Salem, Bizerte 7000 Tunisia",hotel,"Bizerta Resort is a 4 stars hotel located in Bizerte, Tunisia's north-ernmost city, which is a potentially rich region, offering diverse natural landscapes and cultural sites. Bizerta Resort is located 60 km to the north of Tunis and Tunis-Carthage international airport, in Bizerta on the coast road of Sidi Salem (165 m of sea front), on the edge of a wide beach (75 m) of fine golden sand and within walking distance of the town center, the old port and the medina with its ancient ramparts: a 15 minutes' walk and you'll get wherever you wish.",reservation@bizertaresort.com,4.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/21/a7/f4/exterior.jpg,37.284233,9.874083,Hotel Bizerta Resort Congres & SPA,+216 72 436 966,Mid-range,3.5,Hotel,http://www.bizertaresort.com/,Pool,Bizerte,Tunisia
"Cap Blanc sans numero Cite Montezah El Rif – Ennadhour, Bizerte 7000 Tunisia",hotel,"Located on a hill near Bizerte, Cap Blanc Guest House ""Arts & Culture Events"" has a wonderful view on the Cap Blac bay. Cap Blanc Guest House offers you a homely atmosphere with all comforts, to enjoy the calm, the typical gastronomy and Tunisian culture in an unrivaled setting. Our spacious suites are equipped with all the necessary for your comfort. All of them include a private bathroom, individual AC, a fridge and a microwave. Housekeeping is daily done. Full breakfast is served every morning at the common living room. The meals are served upon request. The house has an outdoors swimming pool as part of the garden. Free Wi-Fi connection is available in the commun spaces as well as parking on the spot.",etoiledunord.guesthouse@gmail.com,0.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/24/c7/7b/32/vue-du-rez-de-chaussee.jpg,37.328884,9.841139,"Cap Blanc Guest House ""Arts & Culture Events""",+216 98 800 014,Mid-range,5.0,Bed and Breakfast,http://capblancguesthouse.wordpress.com,Pool,Bizerte,Tunisia
"Route de la Corniche, Bizerte 7000 Tunisia",hotel,"Everyone needs a place to lay their weary head. For travelers visiting Bizerte, Hotel Jalta is an excellent choice for rest and rejuvenation. Well-known for its charming environment and proximity to great restaurants, Hotel Jalta makes it easy to enjoy the best of Bizerte.
You’ll enjoy relaxing rooms that offer a flat screen TV and air conditioning, and you can stay connected during your stay as Hotel Jalta offers guests free wifi.
The hotel features a 24 hour front desk, currency exchange, and shops. Plus, Hotel Jalta offers a pool and an on-site restaurant, providing a pleasant respite from your busy day. For guests with a vehicle, free parking is available.
If you are looking for a good seafood restaurant, you may want to check out Hotel le petit mousse, Le Sport Nautique, or Restaurant Le Phenicien while staying at Hotel Jalta.
If you’re looking for something to do, Utica is a nice way to spend some time.
Whether you’re traveling for business, pleasure or both, Hotel Jalta is sure to make your visit to Bizerte one worth remembering.
",contact@hoteljaltabizerte.com,2.0,https://media-cdn.tripadvisor.com/media/photo-o/04/13/29/f8/garten-im-innenhof-der.jpg,37.29982,9.870411,Hotel Jalta,+216 72 439 949,Mid-range,3.0,Hotel,http://www.hoteljaltabizerte.com/en/index.html,Beachfront,Bizerte,Tunisia
"Sidi Salem Tourist Zone, Bizerte 7000 Tunisia",hotel,"See why so many travelers make Hotel Nour Congress and resort their hotel of choice when visiting Bizerte. Providing an ideal mix of value, comfort and convenience, it offers a luxury setting with an array of amenities designed for travelers like you. Rooms at Hotel Residence Nour provide a minibar and air conditioning, and guests can stay connected with free wifi. In addition, while staying at Hotel Residence Nour guests have access to a concierge and room service. You can also enjoy a pool and an on-site restaurant. While you’re here, be sure to check out Best Voice, one of the cafes that can be found in Bizerte, which is a short distance from Hotel Residence Nour. Looking to explore? Then look no further than Utica (1.0 mi), which is a popular Bizerte attraction – and it is conveniently located within walking distance of the hotel. We’re sure you’ll enjoy your stay at Hotel Residence Nour as you experience all of the things Bizerte has to offer.",contact@hotelnour.com,4.0,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/e7/69/ce/hotel-residence-nour.jpg,37.28678,9.873462,Hotel Nour Congress and Resort,+216 72 425 003,Cheap,3.5,Hotel,http://www.hotelnour.com/,Pool,Bizerte,Tunisia
"Rue du Bain, La Medina, Bizerte 7000 Tunisia",hotel,"Looking for a place to stay in Bizerte? Then look no further than Dar El Kasba Bizerte, a family-friendly guest house that brings the best of Bizerte to your doorstep.
Free wifi is offered to guests, and rooms at Dar El Kasba Bizerte offer air conditioning and a mosquito net.
During your stay, take advantage of some of the amenities offered, including a 24 hour front desk and executive lounge access. Guests of Dar El Kasba Bizerte are also welcome to enjoy an on-site restaurant. For travelers arriving by car, secured parking is available.
While you’re here, be sure to check out Best Voice, one of the cafes that can be found in Bizerte, which is a short distance from Dar El Kasba Bizerte.
Looking to explore? Then look no further than Utica (1.2 mi), which is a popular Bizerte attraction – and it is conveniently located within walking distance of the guest house.
We’re sure you’ll enjoy your stay at Dar El Kasba Bizerte as you experience everything Bizerte has to offer.
",,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0f/e3/0e/c9/barbecue-dans-une-magnifique.jpg,37.2797,9.876784,Dar El Kasba Bizerte,,Cheap,4.0,Bed and Breakfast,,Restaurant,Bizerte,Tunisia
